中央卫视,#genre#
CCTV-1,https://node1.olelive.com:6443/live/CCTV1HD/hls.m3u8
CCTV-2,https://node1.olelive.com:6443/live/CCTV2HD/hls.m3u8
CCTV-3,
CCTV-4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV-5体育,http://1.85.0.62:808/hls/503/index.m3u8
CCTV-5+体育赛事,https://node1.olelive.com:6443/live/CCTV5PHD/hls.m3u8
CCTV-6,http://1.85.0.62:808/hls/6/index.m3u8
CCTV-7,https://node1.olelive.com:6443/live/CCTV7HD/hls.m3u8
CCTV-8,https://node1.olelive.com:6443/live/CCTV8HD/hls.m3u8
CCTV-9,https://node1.olelive.com:6443/live/CCTV9HD/hls.m3u8
CCTV-10,https://node1.olelive.com:6443/live/CCTV10HD/hls.m3u8
CCTV-11,
CCTV-12,
CCTV-13,https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV-14,
CCTV-15,
CCTV-16,
CCTV-17,
